FUNCTIONAL_ROLE,WAREHOUSE_SIZE,PRIVILEGE,MAX_CLUSTER,AUTO_SUSPEND,WH_SIZE_SUFFIX
DATA_ENGINEER,XSMALL,USE,3,300,
DATA_ANALYST,XSMALL,USE,3,300,
FIVETRAN_SERVICE_ACCOUNT,XSMALL,FULL,,300,
